,operator_address,name,current_stake,foundation_stake,stake_score,uptime_score,jailed_score,gov_score,community_score,eco_score,commission,distr_before_comm_adj,new_distribution,new_foundation_stake,redeleg
40,regenvaloper1h2dcfp6q2uhel6tmt4rnnjnxu64pz30nqy8ch8,Spanish-Node,1161700.0558073318,583533.6859677894,1.0188246727262333,0.945354523227381,1,0.75,0.3,0,0.1,0.017268936029081337,0.012435838107883821,310895.9526970955,-272637.73327069386
39,regenvaloper1083svrca4t350mphfv9x45wq9asrs60ct2p9a5,Notional,1140212.3301159393,169074.0,1.0243275332110866,0.9997555012224981,1,0.875,0.9,0,0.0969,0.02116435010713535,0.015728620686998485,393215.5171749621,224141.5171749621
38,regenvaloper10mseqwnwtjaqfrwwp2nyrruwmjp6u5jhah4c3y,Cambium,1126343.0051222935,137287.0,1.0284091658641479,0.983740831295842,1,1.0,1.0,0,0.1,0.022014159881830052,0.015853004951230508,396325.12378076266,259038.12378076266
37,regenvaloper1s0lankh33kprer2l22nank5rvsuh9ksaakaag6,KingSuper,1119023.732677,633410.0,1.0310695706854172,0.973227383863078,1,0.5,0.5,0,0.1,0.0178435191271507,0.012849611276947847,321240.28192369617,-312169.71807630383
36,regenvaloper10ly6x72gn9jaq97yt0xr0mxgmzg4zxygxpejqa,ushakov,1003657.019253,446575.0,1.0323087476748942,0.9979217603912007,1,1.0,0.5,0,0.05,0.01946251739945951,0.02803099335638989,700774.8339097473,254199.8339097473
35,regenvaloper16dxk5trv9nz7jnpyvz48ngve45an4hkqkuafza,Stakin,941511.197292,746349.0,1.0321266968325793,0.7832518337408383,1,1.0,0.9,1,0.05,0.022219604549383237,0.03200190266869942,800047.5667174855,53698.56671748555
34,regenvaloper16fzkfglaqmp36cvqum0zguyanhmtkj89pdt3wz,StakeWolf,924990.171566,761970.0,1.0305234181584721,0.9889975550122212,1,0.125,0.3,0,0.1,0.01575109129970377,0.011342796168550846,283569.90421377117,-478400.09578622883
33,regenvaloper15qepg86xxesg7k633ent5t9vaweyf5ztgw2pyf,stakefish,920226.139717,0.0,1.0274989116525732,0.9921760391198011,1,0.25,0.5,1,0.04,0.01894894233662664,0.03411414270356331,852853.5675890829,852853.5675890829
32,regenvaloper15khamenky6kmmv8npd0mnwme22fhks735zdpk6,Republic Crypto,893528.857252,0.0,1.023053177314882,0.9991442542787212,1,0.0,0.3,0,0.05,0.015373902065538028,0.022142343552784854,553558.5888196214,553558.5888196214
31,regenvaloper1xhhquwctvwm40qn3nmmqq067pc2gw22ex8vyff,stake2earn,860079.075955,595202.0,1.0171862151453988,0.9739608801956003,1,0.625,0.5,0,0.0949,0.01810190810153765,0.013736232158773336,343405.8039693334,-251796.1960306666
30,regenvaloper197y23lwql3js4dr8ujwf65falwtnl0edn8w2jv,kano,773386.5672048255,167590.0,1.0098980251441236,0.9909535452322806,1,0.0,0.3,0,0.1,0.015221499751258352,0.010961422657833111,274035.5664458278,106445.56644582778
29,regenvaloper1kzhxmgp8z05zrj90nd8h5qx9pm949an5y7nwsz,Stakely.io,723793.989011,484360.0,1.0011886073110563,0.9687041564792211,1,0.875,0.3,1,0.05,0.01938945061950768,0.027925758541110575,698143.9635277644,213783.96352776443
28,regenvaloper10valuxrrt5guceq5eu8tcf566vkegylkp5lvzk,Ubik Capital,719124.465912,482771.0,0.9910579616461969,0.9998777506112491,1,1.0,0.3,0,0.095,0.01806790195169196,0.01369599531612726,342399.88290318154,-140371.11709681846
27,regenvaloper1r54j0qjwak9n872lmrc3ndamn5h3kac3x257a3,regenald,706000.806169,465050.0,0.9795060881495454,0.9981662591687026,1,1.0,0.3,0,0.08,0.01796322505587644,0.016169768530771882,404244.21326929703,-60805.78673070297
26,regenvaloper1me6xrxj80cp4smrmy2mwaan67spnsen9n2sjxq,⭐️Stargaze.fi⭐️,674821.4325873952,321500.0,0.9665329868211019,0.8102689486552621,1,0.625,0.5,0,0.1,0.016812208806515048,0.01210693621203263,302673.40530081576,-18826.594699184236
25,regenvaloper1z89utvygweg5l56fsk8ak7t6hh88fd0ah08rta,Inotel,670818.530618,433782.0,0.9521386576608664,0.9869193154034219,1,0.0,0.3,0,0.1,0.014722172772254455,0.010601843500012727,265046.0875003182,-168735.9124996818
24,regenvaloper1vys9dreue4e8xrga2zmuzth4z4gkmmgvjdxfdz,Stakecito,670792.348296,0.0,0.9363231006688388,0.7512224938875316,1,0.625,0.3,0,0.05,0.015184488743060923,0.02186954001586342,546738.5003965856,546738.5003965856
23,regenvaloper1q07u5g9s5cy5d3tj923v0nt870x073el9q4k00,nuevax,641973.6179613147,407466.0,0.9190863158450193,0.563080684596578,1,0.125,0.3,0,0.1,0.01256381375498829,0.009047549519641712,226188.7379910428,-181277.2620089572
22,regenvaloper1xk5hddxck0tevelchlvcq93waqd07antxvksph,01node,635398.313780759,274933.718507601,0.9004283031894076,0.9871638141809294,1,0.0,0.3,0,0.1,0.014295649204670002,0.010294692090872932,257367.3022718233,-17566.416235777695
21,regenvaloper18ksj3zyxj27mhwatl39heymregu87armqpd5ut,sebytza05,602722.495716,387250.0,0.8803490627020039,0.9991442542787212,1,1.0,0.3,0,0.14,0.017148054181312374,0.008820562677436758,220514.06693591896,-166735.93306408104
20,regenvaloper1a5asvn8sk3zqf4qjctgkqynzgqx57ug79r9aqt,Validation.Capital,584644.315769,385243.0,0.858848594382808,0.9929095354523179,1,0.75,0.3,0,0.1,0.016198307885312853,0.011664849191877203,291621.22979693004,-93621.77020306996
